customer_id,segment,acquisition_channel,join_date
304,Medium Value,Paid Ads,2023-09-08
305,Low Value,Email,2023-07-04
306,Medium Value,Organic,2024-01-27
307,Low Value,Organic,2024-08-20
308,High Value,Paid Ads,2023-09-18
309,Medium Value,Email,2024-04-21
310,Bargain Hunter,Email,2023-06-11
311,High Value,Affiliate,2023-11-03
312,Low Value,Paid Ads,2023-09-14
313,Medium Value,Paid Ads,2024-01-29
314,Bargain Hunter,Organic,2024-01-26
315,Low Value,Email,2023-10-30
316,High Value,Social,2024-02-10
317,Medium Value,Email,2023-02-20
318,Bargain Hunter,Email,2023-10-21
319,Low Value,Organic,2023-12-27
320,Medium Value,Organic,2023-09-14
321,Low Value,Email,2023-05-21
322,Low Value,Affiliate,2023-02-10
323,Medium Value,Paid Ads,2024-08-16
324,Medium Value,Organic,2023-10-30
325,Medium Value,Paid Ads,2023-07-25
326,High Value,Paid Ads,2024-01-10
327,Low Value,Affiliate,2023-06-18
328,Medium Value,Social,2024-05-08
329,Bargain Hunter,Paid Ads,2023-12-13
330,Low Value,Paid Ads,2023-03-19
331,High Value,Affiliate,2024-02-11
332,Bargain Hunter,Social,2024-01-10
333,High Value,Paid Ads,2023-09-28
334,Low Value,Paid Ads,2023-09-26
335,Low Value,Social,2024-01-16
336,High Value,Organic,2023-01-26
337,Low Value,Affiliate,2023-12-02
338,Bargain Hunter,Organic,2023-03-06
339,Low Value,Paid Ads,2023-11-06
340,Low Value,Organic,2023-02-16
341,Bargain Hunter,Paid Ads,2024-05-19
342,High Value,Organic,2024-07-04
343,High Value,Paid Ads,2024-07-07
344,Medium Value,Email,2023-06-08
345,Bargain Hunter,Email,2024-05-16
346,Low Value,Affiliate,2023-10-14
347,High Value,Paid Ads,2024-03-30
348,Medium Value,Organic,2024-01-07
349,High Value,Email,2024-07-11
350,Bargain Hunter,Email,2023-03-04
351,Medium Value,Organic,2023-05-06
352,Bargain Hunter,Social,2023-04-04
353,Low Value,Email,2023-01-22
354,High Value,Paid Ads,2023-05-09
355,Low Value,Organic,2024-07-21
356,Medium Value,Organic,2023-08-27
357,Medium Value,Organic,2023-01-03
358,Medium Value,Affiliate,2023-05-14
359,Low Value,Social,2023-04-23
360,Low Value,Organic,2023-01-16
361,Medium Value,Social,2023-11-28
362,High Value,Paid Ads,2023-05-10
363,Low Value,Paid Ads,2023-03-07
364,Medium Value,Social,2024-06-09
365,Low Value,Paid Ads,2023-08-15
366,Bargain Hunter,Organic,2024-06-17
367,Medium Value,Email,2023-02-01
368,High Value,Paid Ads,2024-02-16
369,Medium Value,Organic,2024-03-30
370,High Value,Organic,2023-06-01
371,High Value,Paid Ads,2024-08-22
372,Low Value,Paid Ads,2024-06-27
373,Medium Value,Paid Ads,2024-03-16
374,High Value,Email,2024-07-18
375,Low Value,Organic,2024-04-07
376,Bargain Hunter,Paid Ads,2024-04-09
377,Medium Value,Email,2023-11-17
378,Medium Value,Email,2024-01-19
379,Bargain Hunter,Email,2024-04-30
380,High Value,Social,2023-04-06
381,Medium Value,Email,2024-01-17
382,Low Value,Email,2024-08-23
383,Bargain Hunter,Email,2023-05-06
384,Medium Value,Social,2024-03-09
385,Bargain Hunter,Email,2023-10-22
386,Low Value,Paid Ads,2024-08-14
387,Low Value,Organic,2024-05-08
388,Medium Value,Organic,2024-07-23
389,Medium Value,Social,2024-08-10
390,Medium Value,Paid Ads,2024-07-28
391,Bargain Hunter,Social,2024-07-24
392,High Value,Affiliate,2023-10-01
393,High Value,Paid Ads,2023-11-13
394,Bargain Hunter,Paid Ads,2023-07-05
395,Bargain Hunter,Email,2024-02-15
396,High Value,Email,2023-02-01
397,High Value,Paid Ads,2024-01-21
398,Medium Value,Paid Ads,2024-01-14
399,Medium Value,Paid Ads,2024-08-04
400,Low Value,Social,2023-06-09
401,Medium Value,Email,2023-03-25
402,Medium Value,Email,2024-05-12
403,Low Value,Paid Ads,2023-08-09
404,Low Value,Organic,2024-03-16
405,High Value,Email,2024-05-13
406,Low Value,Paid Ads,2023-08-14
407,Medium Value,Email,2023-01-08
408,Medium Value,Affiliate,2023-05-21
409,Low Value,Paid Ads,2023-05-03
410,High Value,Email,2023-06-29
411,High Value,Paid Ads,2023-08-24
412,Low Value,Social,2023-12-29
413,High Value,Social,2023-02-13
414,Medium Value,Paid Ads,2023-03-21
415,Bargain Hunter,Email,2024-08-10
416,Medium Value,Email,2023-10-24
417,High Value,Organic,2023-11-29
418,Medium Value,Affiliate,2024-04-16
419,Low Value,Affiliate,2023-04-01
420,Medium Value,Organic,2024-03-22
421,Low Value,Paid Ads,2024-02-10
422,Bargain Hunter,Email,2023-08-15
423,Medium Value,Organic,2024-06-06
424,Low Value,Paid Ads,2023-07-18
425,Bargain Hunter,Paid Ads,2023-06-01
426,Medium Value,Organic,2023-07-22
427,Medium Value,Organic,2023-03-19
428,Medium Value,Social,2024-05-20
429,Medium Value,Email,2024-08-16
430,Medium Value,Affiliate,2024-08-01
431,Low Value,Affiliate,2023-11-27
432,Bargain Hunter,Email,2023-06-04
433,Medium Value,Paid Ads,2023-11-07
434,Low Value,Email,2023-12-27
435,Low Value,Paid Ads,2024-04-07
436,High Value,Paid Ads,2023-10-21
437,High Value,Social,2023-04-03
438,Low Value,Paid Ads,2024-04-18
439,Low Value,Affiliate,2023-02-12
440,Medium Value,Social,2023-07-12
441,Medium Value,Paid Ads,2023-06-04
442,Bargain Hunter,Paid Ads,2023-12-18
443,Bargain Hunter,Organic,2023-06-26
444,High Value,Email,2024-03-25
445,Low Value,Email,2024-01-08
446,Medium Value,Paid Ads,2024-02-23
447,Low Value,Email,2023-02-23
448,Low Value,Email,2023-03-09
449,Medium Value,Email,2024-01-31
450,Medium Value,Email,2023-06-03
451,Medium Value,Email,2023-05-25
452,Bargain Hunter,Paid Ads,2024-02-06
453,High Value,Email,2023-03-28
454,Medium Value,Paid Ads,2023-12-03
455,Low Value,Email,2024-06-23
456,High Value,Email,2024-06-04
457,Medium Value,Paid Ads,2023-07-04
458,Bargain Hunter,Paid Ads,2024-05-12
459,Medium Value,Affiliate,2023-06-08
460,High Value,Social,2023-04-14
461,Low Value,Paid Ads,2024-06-23
462,High Value,Paid Ads,2023-05-15
463,Low Value,Organic,2023-07-05
464,Low Value,Social,2023-06-19
465,Low Value,Organic,2024-01-09
466,Low Value,Organic,2024-03-30
467,Low Value,Social,2024-04-04
468,Medium Value,Organic,2024-04-25
469,Bargain Hunter,Organic,2024-08-07
470,Bargain Hunter,Paid Ads,2023-10-16
471,Low Value,Paid Ads,2024-03-04
472,Bargain Hunter,Social,2023-05-22
473,Bargain Hunter,Organic,2024-05-07
474,Bargain Hunter,Email,2023-04-16
475,Low Value,Paid Ads,2023-05-08
476,Medium Value,Social,2023-10-07
477,Medium Value,Paid Ads,2024-03-23
478,High Value,Affiliate,2024-04-06
479,Bargain Hunter,Affiliate,2024-02-29
480,High Value,Paid Ads,2023-08-30
481,Medium Value,Organic,2023-08-18
482,High Value,Affiliate,2023-12-10
483,Low Value,Organic,2023-10-21
484,Bargain Hunter,Paid Ads,2023-05-23
485,Low Value,Paid Ads,2023-01-06
486,Bargain Hunter,Organic,2023-08-09
487,Low Value,Paid Ads,2024-06-24
488,Medium Value,Social,2023-09-01
489,Medium Value,Organic,2024-03-05
490,Low Value,Email,2023-03-06
491,High Value,Affiliate,2024-07-02
492,High Value,Paid Ads,2023-09-05
493,Low Value,Paid Ads,2023-01-02
494,Low Value,Organic,2024-03-02
495,Medium Value,Email,2024-06-20
496,Bargain Hunter,Organic,2024-06-22
497,Low Value,Social,2024-06-03
498,Low Value,Paid Ads,2024-04-26
499,High Value,Paid Ads,2024-01-18
500,Medium Value,Organic,2023-03-11
501,Medium Value,Email,2023-04-17
502,Low Value,Email,2023-12-07
503,High Value,Paid Ads,2023-12-13
504,Low Value,Organic,2024-04-20
505,Bargain Hunter,Paid Ads,2023-07-06
506,Low Value,Organic,2024-04-13
507,High Value,Organic,2023-07-24
508,Bargain Hunter,Paid Ads,2023-11-14
509,Low Value,Affiliate,2024-07-10
510,Medium Value,Organic,2023-07-15
511,Medium Value,Social,2023-02-18
512,Bargain Hunter,Paid Ads,2023-05-08
513,Low Value,Paid Ads,2024-02-14
514,Low Value,Social,2024-01-31
515,Medium Value,Organic,2024-05-24
516,Medium Value,Social,2023-10-01
517,Low Value,Email,2023-03-22
518,Medium Value,Affiliate,2023-07-04
519,Low Value,Paid Ads,2023-03-23
520,Medium Value,Paid Ads,2024-04-01
521,Low Value,Paid Ads,2024-03-30
522,Medium Value,Organic,2023-12-28
523,Low Value,Paid Ads,2023-02-28
524,High Value,Email,2024-01-08
525,Low Value,Email,2023-06-13
526,Bargain Hunter,Organic,2024-03-24
527,High Value,Organic,2024-01-11
528,Medium Value,Affiliate,2023-02-03
529,Low Value,Email,2024-01-15
530,Medium Value,Social,2024-08-10
531,High Value,Paid Ads,2023-11-18
532,Low Value,Organic,2023-04-27
533,High Value,Organic,2024-06-14
534,Medium Value,Email,2023-09-26
535,Low Value,Email,2023-08-08
536,Bargain Hunter,Paid Ads,2024-05-17
537,Medium Value,Organic,2023-03-17
538,Medium Value,Social,2024-03-31
539,Bargain Hunter,Social,2023-11-24
540,Low Value,Email,2024-07-17
541,Low Value,Social,2023-06-11
542,Low Value,Affiliate,2023-06-28
543,Low Value,Paid Ads,2023-05-05
544,Bargain Hunter,Social,2023-08-31
545,Low Value,Organic,2024-07-21
546,Low Value,Paid Ads,2024-07-18
547,High Value,Social,2023-03-09
548,Medium Value,Affiliate,2024-05-05
549,Low Value,Social,2024-08-11
550,High Value,Affiliate,2023-03-17
551,Medium Value,Email,2023-12-19
552,High Value,Social,2024-07-18
553,Low Value,Organic,2023-05-13
554,Medium Value,Affiliate,2023-02-26
555,Low Value,Paid Ads,2023-11-08
556,Medium Value,Paid Ads,2023-08-19
557,Medium Value,Affiliate,2023-10-18
558,Low Value,Paid Ads,2024-07-18
559,Medium Value,Email,2024-06-30
560,High Value,Email,2024-08-17
561,Medium Value,Email,2023-12-12
562,Low Value,Email,2023-01-30
563,High Value,Affiliate,2024-08-13
564,Medium Value,Organic,2024-08-08
565,Medium Value,Email,2024-05-24
566,Bargain Hunter,Paid Ads,2023-11-06
567,Medium Value,Social,2024-02-20
568,Medium Value,Organic,2023-03-03
569,Medium Value,Paid Ads,2024-04-20
570,Medium Value,Email,2023-11-17
571,Bargain Hunter,Paid Ads,2023-12-20
572,Bargain Hunter,Organic,2024-01-15
573,Low Value,Organic,2023-09-05
574,Medium Value,Paid Ads,2023-09-11
575,High Value,Organic,2024-01-29
576,Bargain Hunter,Paid Ads,2023-06-13
577,Low Value,Affiliate,2023-11-17
578,Medium Value,Organic,2024-06-11
579,Medium Value,Social,2024-05-24
580,High Value,Affiliate,2024-06-01
581,Medium Value,Organic,2024-08-20
582,Medium Value,Organic,2024-05-21
583,Low Value,Social,2024-04-26
584,Medium Value,Organic,2023-04-21
585,Medium Value,Social,2024-01-10
586,Low Value,Paid Ads,2024-02-15
587,High Value,Email,2024-01-07
588,Low Value,Organic,2024-05-31
589,Medium Value,Paid Ads,2023-05-02
590,High Value,Organic,2024-01-18
591,Low Value,Paid Ads,2024-01-10
592,Low Value,Organic,2024-06-05
593,Medium Value,Organic,2023-02-09
594,High Value,Paid Ads,2024-04-30
595,Low Value,Organic,2024-06-11
596,High Value,Affiliate,2023-11-23
597,Medium Value,Affiliate,2023-11-03
598,Low Value,Paid Ads,2024-06-05
599,Low Value,Email,2023-11-03
600,Medium Value,Organic,2023-12-06
601,Low Value,Affiliate,2024-08-20
602,Medium Value,Social,2023-01-28
603,Low Value,Paid Ads,2024-08-15
604,Low Value,Email,2024-08-20
605,Medium Value,Paid Ads,2024-01-25
606,High Value,Email,2023-02-02
607,Low Value,Email,2023-07-15
608,High Value,Paid Ads,2023-06-05
609,Medium Value,Organic,2024-05-28
610,Low Value,Affiliate,2023-03-05
611,Low Value,Paid Ads,2024-07-28
612,Medium Value,Email,2024-06-22
613,Medium Value,Affiliate,2024-04-15
614,Bargain Hunter,Paid Ads,2023-12-29
615,Low Value,Social,2023-09-28
616,Low Value,Organic,2023-09-10
617,Medium Value,Paid Ads,2023-11-01
618,Low Value,Email,2024-05-15
619,Medium Value,Paid Ads,2023-10-08
620,Medium Value,Email,2024-07-10
621,Medium Value,Affiliate,2023-12-20
622,Bargain Hunter,Social,2023-10-25
623,High Value,Affiliate,2023-03-22
624,Medium Value,Paid Ads,2023-09-20
625,Low Value,Organic,2024-07-05
626,Medium Value,Email,2023-10-06
627,High Value,Email,2024-08-23
628,Medium Value,Organic,2024-06-27
629,Medium Value,Organic,2023-04-13
630,Medium Value,Email,2023-04-13
631,Low Value,Organic,2024-07-17
632,Bargain Hunter,Organic,2024-05-02
633,Medium Value,Organic,2023-10-22
634,Medium Value,Email,2023-04-02
635,Low Value,Organic,2023-02-08
636,Bargain Hunter,Organic,2023-06-30
637,Bargain Hunter,Organic,2024-02-11
638,Low Value,Organic,2023-10-24
639,Bargain Hunter,Organic,2024-08-04
640,Low Value,Affiliate,2023-12-10
641,Medium Value,Affiliate,2024-07-10
642,Low Value,Social,2023-05-18
643,Bargain Hunter,Paid Ads,2023-07-17
644,Low Value,Paid Ads,2024-04-14
645,Low Value,Email,2023-01-15
646,Low Value,Social,2024-08-04
647,Low Value,Organic,2024-02-20
648,Low Value,Paid Ads,2023-03-30
649,Medium Value,Organic,2023-05-24
650,Medium Value,Affiliate,2023-01-07
651,Medium Value,Organic,2023-10-01
652,Bargain Hunter,Paid Ads,2024-08-09
653,High Value,Email,2023-08-30
654,High Value,Organic,2023-11-11
655,Medium Value,Email,2023-11-15
656,Low Value,Email,2023-10-30
657,Medium Value,Organic,2023-05-17
658,Medium Value,Paid Ads,2024-01-18
659,Medium Value,Paid Ads,2024-04-27
660,Low Value,Social,2023-08-12
661,Low Value,Email,2023-03-25
662,Low Value,Paid Ads,2024-01-06
663,High Value,Email,2023-03-05
664,Low Value,Affiliate,2023-07-27
665,Low Value,Organic,2023-12-02
666,Bargain Hunter,Paid Ads,2023-07-30
667,Low Value,Paid Ads,2024-06-06
668,Medium Value,Organic,2023-05-16
669,Low Value,Paid Ads,2023-03-01
670,Low Value,Email,2023-11-12
671,Low Value,Paid Ads,2023-01-04
672,Low Value,Email,2023-02-16
673,Medium Value,Email,2024-07-08
674,Bargain Hunter,Affiliate,2023-03-12
675,Bargain Hunter,Paid Ads,2023-10-21
676,Medium Value,Social,2024-03-06
677,Medium Value,Social,2024-04-04
678,Bargain Hunter,Affiliate,2024-01-20
679,High Value,Affiliate,2024-07-06
680,High Value,Social,2023-05-02
681,Medium Value,Paid Ads,2024-06-25
682,High Value,Affiliate,2023-01-04
683,Low Value,Affiliate,2024-04-19
684,Low Value,Paid Ads,2024-06-28
685,Medium Value,Organic,2024-04-16
686,Medium Value,Paid Ads,2023-04-26
687,High Value,Email,2023-01-17
688,Medium Value,Organic,2023-02-04
689,Medium Value,Email,2023-02-19
690,Medium Value,Organic,2024-03-25
691,Medium Value,Organic,2023-02-27
692,High Value,Affiliate,2023-08-28
693,Low Value,Email,2023-11-23
694,Low Value,Social,2023-11-25
695,Medium Value,Social,2024-06-17
696,Medium Value,Paid Ads,2023-03-04
697,Low Value,Email,2023-06-29
698,Low Value,Paid Ads,2024-05-22
699,High Value,Paid Ads,2024-01-26
700,Low Value,Paid Ads,2024-03-02
701,Medium Value,Paid Ads,2023-07-08
702,Low Value,Paid Ads,2023-08-19
703,Medium Value,Email,2024-04-19
704,Bargain Hunter,Email,2024-03-02
705,Low Value,Organic,2023-09-06
706,Medium Value,Paid Ads,2023-03-22
707,Bargain Hunter,Social,2023-04-05
708,Low Value,Social,2023-02-22
709,Medium Value,Email,2023-02-10
710,Bargain Hunter,Organic,2024-07-26
711,Medium Value,Organic,2023-12-07
712,Medium Value,Affiliate,2023-08-05
713,Bargain Hunter,Affiliate,2023-05-01
714,Low Value,Social,2023-09-06
715,Low Value,Email,2024-02-11
